epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.784,2.02761,5.61376,1.16921,0,0,0,0,1.97832,5.47059,1.08255,4.004e-05,4.004e-05,4.004e-05
2,380.451,1.76959,5.26723,1.00775,0.00362,5e-05,0.00187,0.00151,1.63204,5.25598,0.97222,7.98961e-05,7.98961e-05,7.98961e-05
3,595.947,1.6559,4.94354,0.94482,0.01147,0.04218,0.00918,0.00566,1.54636,4.80872,0.95019,0.00011811,0.00011811,0.00011811
4,810.993,1.63194,4.70892,0.93842,0.014,0.05772,0.01482,0.00935,1.51689,4.33077,0.94296,0.000134506,0.000134506,0.000134506
5,1029.71,1.57997,4.49902,0.92734,0.01732,0.0624,0.01749,0.01193,1.47671,4.19452,0.94021,0.000131674,0.000131674,0.000131674
6,1263.13,1.5505,4.32767,0.92405,0.02114,0.07479,0.02202,0.01546,1.45001,4.08882,0.92786,0.000128843,0.000128843,0.000128843
7,1482.81,1.55716,4.1634,0.91745,0.02791,0.08887,0.03019,0.02105,1.43243,3.98865,0.92057,0.000126012,0.000126012,0.000126012
8,1714.65,1.58844,4.01832,0.90971,0.03299,0.10335,0.0411,0.02806,1.42888,3.89033,0.91969,0.00012318,0.00012318,0.00012318
9,1952.61,1.53115,3.9038,0.90277,0.03626,0.11357,0.05012,0.03436,1.41112,3.73279,0.91504,0.000120349,0.000120349,0.000120349
10,2176.64,1.50276,3.71141,0.90983,0.51398,0.07996,0.06111,0.04201,1.41415,3.5525,0.91388,0.000117517,0.000117517,0.000117517
11,2410.71,1.52485,3.58415,0.90157,0.52942,0.07896,0.07254,0.04963,1.40383,3.38667,0.9096,0.000114686,0.000114686,0.000114686
12,2713.11,1.50734,3.48692,0.90597,0.61046,0.08398,0.08411,0.05749,1.3941,3.31027,0.91133,0.000111855,0.000111855,0.000111855
13,3157.81,1.48898,3.37082,0.89748,0.71001,0.08745,0.09161,0.06269,1.39032,3.2168,0.91049,0.000109023,0.000109023,0.000109023
14,3595.51,1.47087,3.20573,0.89882,0.65229,0.09891,0.10431,0.07166,1.38663,3.0309,0.90622,0.000106192,0.000106192,0.000106192
15,4025.22,1.46979,3.07917,0.90886,0.64316,0.1104,0.11872,0.08111,1.37629,2.87641,0.90504,0.00010336,0.00010336,0.00010336
16,4440.31,1.46555,3.01701,0.89468,0.63971,0.12934,0.12941,0.08862,1.37396,2.78146,0.90457,0.000100529,0.000100529,0.000100529
17,4862.02,1.47182,2.89219,0.89335,0.67668,0.12798,0.13961,0.0958,1.38151,2.70341,0.90506,9.76976e-05,9.76976e-05,9.76976e-05
18,5263.46,1.5163,2.88484,0.89562,0.70247,0.12995,0.14862,0.10278,1.36765,2.57926,0.90198,9.48662e-05,9.48662e-05,9.48662e-05
