epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.354,1.5928,2.93947,1.21836,0.82503,0.4025,0.64982,0.44712,1.28454,2.9826,1.17514,0.000141213,0.000141213,0.000141213
2,810.62,1.127,1.40161,1.05657,0.94466,0.78597,0.83799,0.60175,1.13672,1.59942,1.12728,0.000283821,0.000283821,0.000283821
3,1271.8,1.04552,1.04562,1.0144,0.95689,0.803,0.86053,0.60326,1.14727,1.51557,1.15714,0.000425656,0.000425656,0.000425656
4,1689.5,1.03701,0.94599,1.01352,0.93436,0.80294,0.86235,0.61809,1.09043,1.39375,1.11956,0.000566142,0.000566142,0.000566142
5,2107.58,0.99597,0.90556,1.00659,0.96932,0.81472,0.87693,0.63222,1.08211,1.3051,1.1225,0.000704707,0.000704707,0.000704707
6,2523.47,0.98432,0.84991,1.00392,0.9833,0.81947,0.87512,0.65157,1.03396,1.28088,1.09433,0.000701957,0.000701957,0.000701957
7,2948.65,0.96656,0.78811,1.00135,0.95531,0.82291,0.8861,0.65219,1.03969,1.13179,1.08505,0.000696702,0.000696702,0.000696702
8,3373.55,0.96574,0.76168,0.99447,0.98427,0.82896,0.88536,0.65299,1.04138,1.12738,1.09737,0.000690525,0.000690525,0.000690525
9,3799.38,0.93099,0.73455,0.9855,0.97199,0.82986,0.8901,0.66853,0.99955,1.07618,1.07148,0.000683444,0.000683444,0.000683444
10,4224.45,0.9292,0.71477,0.98839,0.97303,0.83944,0.88726,0.66927,0.99073,1.01519,1.07841,0.000675478,0.000675478,0.000675478
11,4648.68,0.91795,0.68397,0.98097,0.98128,0.83102,0.89516,0.6781,0.99489,0.96483,1.06281,0.000666649,0.000666649,0.000666649
12,5072.58,0.9207,0.68226,0.98532,0.97482,0.83905,0.90395,0.68345,0.98607,0.90041,1.07384,0.000656981,0.000656981,0.000656981
13,5496.96,0.93648,0.6635,0.98576,0.97257,0.84038,0.90339,0.679,0.99247,0.92755,1.0755,0.000646501,0.000646501,0.000646501
14,5921.07,0.89823,0.63795,0.9823,0.9874,0.84655,0.9113,0.68968,0.96089,0.82485,1.04571,0.000635237,0.000635237,0.000635237
15,6342,0.90805,0.64626,0.98319,0.95937,0.84918,0.91377,0.69707,0.94519,0.81393,1.04654,0.00062322,0.00062322,0.00062322
16,6754.99,0.88761,0.61578,0.97338,0.98715,0.83882,0.91419,0.70096,0.93634,0.79005,1.03522,0.000610483,0.000610483,0.000610483
17,7167.95,0.88441,0.60715,0.97529,0.98475,0.84448,0.91526,0.70179,0.9325,0.7742,1.04175,0.000597061,0.000597061,0.000597061
18,7580.08,0.88171,0.59434,0.97536,0.98624,0.84709,0.91543,0.70549,0.91098,0.74833,1.02834,0.000582991,0.000582991,0.000582991
19,8052.52,0.87445,0.5785,0.97138,0.98551,0.84763,0.92187,0.71011,0.92667,0.72778,1.02097,0.000568311,0.000568311,0.000568311
